name,genre,atmosphere,has_drive_thru,address,open_hour,close_hour,closed_days
Abby's Legendary Pizza,Pizza,Casual,FALSE,1919 Austin St,11AM,10PM,NONE
Abby's Legendary Pizza,Pizza,Casual,FALSE,2226 Shallock Ave,11AM,10PM,NONE
Anita's RoadHouse Kitchen,Mexican,Casual,FALSE,7343 S 6th St,12PM,7PM,Monday Sunday
Applebee's Grill + Bar | IHOP,American Breakfast Brunch,Casual,FALSE,2750 Campus Dr,6AM,12AM,NONE
Arby's,Fast Food Burgers,Casual,TRUE,2759 S 6th St,10AM,11PM,NONE
Asi Es Mi Tierra,Mexican,Casual,FALSE,1038 E Main St,9AM,8PM,NONE
Black Bear Diner Klamath Falls,American Burgers,Diner,FALSE,5140 S 6th St,6AM,9PM,NONE
Burger King,Fast Food Burgers American,Casual,TRUE,2561 Campus Dr,6AM,10:30PM,NONE
Burger King,Fast Food Burgers American,Casual,TRUE,3030 S 6th St,6AM,10:30PM,NONE
Burger King,Fast Food Burgers American,Casual,TRUE,5441 S 6th St,6AM,10:30PM,NONE
Casey's Restaurant,Breakfast Brunch American,Casual,FALSE,4706 S 6th St,8AM,8PM,NONE
C & D Burger Shoppe,American Burgers,Casual Outdoor Seating,FALSE,1302 Oregon Ave,11AM,8PM,Sunday
Chilitos,Mexican,Casual,FALSE,5541 S 6th St,11AM,8PM,Sunday
Common Block Brewing Company,Pizza American Sports Bar,Casual,FALSE,1320 Main St,11AM,9PM,NONE
Dagwood's Burgers,American Burgers,Casual,FALSE,1504 Oregon Ave,11AM,7PM,NONE
Dairy Queen Grill & Chill,American Fast Food Burgers,Casual,TRUE,4608 S 6th St,10:30AM,10PM,NONE
David's Brawny Burger,American Burgers,Casual,FALSE,2175 S 6th St,10AM,9PM,Sunday
Del Taco,Mexican Fast Food,Casual,TRUE,3370 Washburn Way,8AM,9PM,NONE
Denny's Restaurant,Breakfast Brunch American Burgers,Casual,FALSE,2947 S 6th St,Always,Always,NONE
Domino's Pizza,Fast Food Pizza American,Pickup,FALSE,2967 Washburn Way Ste A,10AM,1AM,NONE
El Tio Chuy,Mexican,Casual,FALSE,6200 S 6th St,11AM,9PM,NONE
Fuong's Kitchen,Food Truck Asian Noodles,Casual,FALSE,3540 S 6th St,11:30AM,6:30PM,Saturday Sunday
Garage Tap House,Food Truck American,Casual Outdoor Seating,FALSE,603 S 6th St,11AM,9PM,NONE
Gino's Cafe & Sports Bar,American Burgers Sports Bar,Casual Outdoor Seating,FALSE,147 E Main St,6:30AM,9PM,NONE
Girasol Family Mexican Restaurant & Cantina,Mexican,Casual,FALSE,430 Main St,11AM,9PM,NONE
Greek Pita,Greek,Casual,FALSE,1817 Avalon St,11AM,7PM,Sunday
Hansen's Speakeasy Bar & Grill,Mongolian BBQ Steakhouse,Speakeasy,FALSE,3249 S 6th St,7AM,2:30AM,NONE
Harbor House Restaurant,Sports Bar,Casual,FALSE,601 Harbor Isle Blvd,11AM,9PM,Monday
Howdy Doody's Tavern,American Sports Bar,Pub,FALSE,1515 E Main St,11AM,1AM,NONE
Italianna's Ristorante and Gelateria,Italian Seafood,Contemporary Casual,FALSE,2650 Washburn Way,4PM,9PM,Sunday Monday
Jack in the Box,Fast Food American Burgers,Casual,TRUE,3040 Washburn Way,6AM,12AM,NONE
Joy's Bistro | Sandwiches,Sandwich Deli,Casual Fast Casual,FALSE,1402 Oregon Ave,10AM,6PM,Saturday Sunday
J's Steakhouse,Steakhouse,Fine Dining,FALSE,3927 S 6th St,4PM,9PM,Monday
KFC,Chicken Fast Food,Casual,FALSE,4404 S 6th St,10:30AM,10PM,NONE
King Wah,Asian Chinese Vegan,Contemporary Casual,FALSE,2765 Pershing Way,11AM,9:30PM,NONE
Krispy Krunchy Chicken,Chicken,Casual Fast Casual,FALSE,2123 Oregon Ave,10AM,8PM,NONE
Las Morenas De Klamath Falls,Mexican,Casual,FALSE,813 E Main St,10AM,8PM,NONE
Lito's Pasteria,Pastries Breakfast Brunch,Casual,FALSE,1401 Esplanade Ave,4PM,8PM,Monday Tuesday
Little Caesars Pizza,Pizza,Casual,FALSE,5538 S 6th St,10AM,10PM,NONE
Los Potrillos,Mexican,Casual,FALSE,1750 Washburn Way,11AM,9PM,NONE
Lucero's,Mexican,Casual,FALSE,535 E Main St #3235,9:30AM,8PM,NONE
Lulu's on Main,American Burgers,Casual,FALSE,1850 Main St,11AM,4PM,Monday
Mazatlan Grill,Mexican,Contemporary Casual,FALSE,2322 Washburn Way,11AM,9PM,NONE
McDonald's,Fast Food,Casual,TRUE,1874 Avalon St,6AM,11PM,NONE
McDonald's,Fast Food,Casual,TRUE,2481 Campus Dr,6AM,11PM,NONE
Mia & Pia's Pizzeria & Brewhouse,Pizza American Burgers,Casual,FALSE,3545 Summers Ln,11:30AM,9PM,Tuesday
Momiji Sushi Bento Teriyaki,Sushi Asian Japanese,Casual,FALSE,3380 Washburn Way Ste E,10:30AM,9PM,NONE
Nibbley's Cafe,Breakfast Brunch American,Contemporary Casual,FALSE,2424 Washburn Way,8AM,2PM,NONE
Noodz N' More,Asian,Contemporary Casual,FALSE,1776 Avalon St,11AM,5:30PM,Saturday Sunday
North Shore Hawaiian Kitchen,Hawaiian,Casual,FALSE,2750 Altamont Dr,10:30AM,7PM,Saturday Sunday
Papa Murphy's | Take 'N' Bake Pizza,Pizza,Casual,FALSE,3140 S 6th St,7AM,9PM,NONE
Red Zone Sports Bar,American BBQ Burgers,Casual Lively,FALSE,1717 Avalon St,9AM,2:30AM,NONE
Rodeo's Pizza & Saladeria,Salad Pizza,Casual,FALSE,1215 Main St,11AM,9PM,Monday
Roosters Steak & Chop House,Steakhouse American,Contemporary Casual,FALSE,205 Main St,4PM,9PM,Sunday Monday
Sergio's Mexican Restaurant,Mexican,Casual,FALSE,4650 S 6th St,11AM,9PM,NONE
Smokin H BBQ,BBQ,Casual,FALSE,2215 Shallock Ave,10AM,8PM,Sunday
Sonic,Fast Food Burgers American,Casual,TRUE,5419 S 6th St,8AM,11PM,NONE
Southern Oregon Barbeque,American BBQ,Casual,FALSE,7215 S 6th St,11AM,6PM,Saturday Sunday
Stagecoach Pizza,Pizza,Casual,FALSE,5235 S 6th St,11AM,9PM,NONE
Taco Bell,Mexican Fast Food,Casual,TRUE,3118 Washburn Way,7:30AM,4AM,NONE
Taco Bell,Mexican Fast Food,Casual,TRUE,5327 S 6th St,7:30AM,12AM,NONE
Tacos El Fuego,Mexican Food Truck,Casual,FALSE,4078 S 6th St,10AM,6PM,Sunday Monday
Tacos La Fogata,Mexican Food Truck,Casual,FALSE,3131 S 6th St,10:30AM,6PM,Sunday Monday
Taqueria Jalisciense,Mexican,Contemporary Casual,FALSE,2323 S 6th St,8AM,8PM,NONE
Terra Veg Vegan Eatery,Salad Vegan American,Casual,FALSE,249 E Main St,11AM,2PM,Saturday Sunday Monday
Thai Orchid Café,Thai Vegan,Contemporary Casual,FALSE,900 Main St D,11AM,8PM,Sunday
Thai Orchid Cafe,Thai Vegan,Contemporary Casual,FALSE,1777 Washburn Way,11AM,8PM,Sunday
The Dogfather,Hot Dog Food Truck,Casual,FALSE,Across from Pacific Crest Federal Credit Union Galpin Ln,11AM,4PM,Sunday Monday
The Doughnut House | Drive Thru,Pastries,Casual,TRUE,5019 S 6th St,6AM,12PM,NONE
The Falls Taphouse,Sports Bar,Casual,FALSE,2215 Shallock Ave,12PM,8PM,NONE
The Hammered Hideout Inc,Sports Bar American,Casual Lively,FALSE,3435 Washburn Way,11AM,2AM,NONE
The Klamath Grill,American Breakfast Brunch Burgers,Casual,FALSE,715 Main St,6AM,2:30PM,NONE
The Meltdown,American Sandwiches Burgers,Casual,FALSE,2947 S 6th St,Always,Always,NONE
The Pikey,Sports Bar American,Casual,FALSE,610 Main St,3PM,12AM,NONE
The Spot,Seafood Sports Bar,Casual,FALSE,4480 S 6th St,8AM,5PM,NONE
Toro Bravo Bar & Grill,Mexican,Casual,FALSE,2229 N Eldorado Ave,11AM,9PM,Sunday
Tres Reyes Taco Shop,Mexican,Casual Outdoor Seating,FALSE,2110 Oregon Ave,10AM,5PM,Sunday
Waffle Hut & Eatery,Breakfast Brunch American,Casual,FALSE,106 Main St,6AM,8PM,NONE
Wendy's,Fast Food American Burgers,Casual,FALSE,2150 S 6th St,6:30AM,1AM,NONE
Whiskey Bandit Saloon,American Steakhouse Bar,Thematic Dancing Lively,FALSE,617 Main St,3PM,10PM,Sunday
Willy's Pizzeria,Pizza,Casual,FALSE,4545 S 6th St,11AM,9PM,NONE
